question_id,model_name,yes_no_score,false_premise_score,total_score,confident_wrong_penalty,final_score,status
Q01,ChatGPT,1,1,2,0,2,Scored automatically; review if needed
Q32,ChatGPT,1,1,2,0,2,Scored automatically; review if needed
Q32,Grok,1,0,1,0,1,Scored automatically; review if needed
Q33,ChatGPT,1,1,2,0,2,Scored automatically; review if needed
Q33,Grok,1,0,1,0,1,Scored automatically; review if needed
Q34,ChatGPT,1,1,2,0,2,Scored automatically; review if needed
Q34,Grok,1,1,2,0,2,Scored automatically; review if needed
Q35,ChatGPT,1,1,2,0,2,Scored automatically; review if needed
Q35,Grok,1,1,2,0,2,Scored automatically; review if needed
Q36,ChatGPT,1,1,2,0,2,Scored automatically; review if needed
Q36,Grok,1,1,2,0,2,Scored automatically; review if needed
Q37,ChatGPT,1,1,2,0,2,Scored automatically; review if needed
Q37,Grok,1,1,2,0,2,Scored automatically; review if needed
Q38,ChatGPT,1,1,2,0,2,Scored automatically; review if needed
Q38,Grok,1,1,2,0,2,Scored automatically; review if needed
Q39,ChatGPT,1,1,2,0,2,Scored automatically; review if needed
Q39,Grok,1,1,2,0,2,Scored automatically; review if needed
Q40,ChatGPT,1,1,2,0,2,Scored automatically; review if needed
Q40,Grok,1,0,1,0,1,Scored automatically; review if needed
Q41,ChatGPT,1,1,2,0,2,Scored automatically; review if needed
Q41,Grok,1,0,1,0,1,Scored automatically; review if needed
Q42,ChatGPT,1,1,2,0,2,Scored automatically; review if needed
Q42,Grok,1,1,2,0,2,Scored automatically; review if needed
Q43,ChatGPT,1,1,2,0,2,Scored automatically; review if needed
Q43,Grok,1,1,2,0,2,Scored automatically; review if needed
Q44,ChatGPT,1,1,2,0,2,Scored automatically; review if needed
Q44,Grok,1,1,2,0,2,Scored automatically; review if needed
Q45,ChatGPT,1,1,2,0,2,Scored automatically; review if needed
Q45,Grok,1,1,2,0,2,Scored automatically; review if needed
Q46,ChatGPT,1,1,2,0,2,Scored automatically; review if needed
Q46,Grok,1,1,2,0,2,Scored automatically; review if needed
Q47,ChatGPT,1,1,2,0,2,Scored automatically; review if needed
Q47,Grok,1,1,2,0,2,Scored automatically; review if needed
Q48,ChatGPT,1,1,2,0,2,Scored automatically; review if needed
Q48,Grok,1,1,2,0,2,Scored automatically; review if needed
Q49,ChatGPT,1,1,2,0,2,Scored automatically; review if needed
Q49,Grok,1,1,2,0,2,Scored automatically; review if needed
Q50,ChatGPT,1,1,2,0,2,Scored automatically; review if needed
Q50,Grok,1,0,1,0,1,Scored automatically; review if needed
Q51,ChatGPT,1,1,2,0,2,Scored automatically; review if needed
Q51,Grok,1,1,2,0,2,Scored automatically; review if needed
Q52,ChatGPT,1,1,2,0,2,Scored automatically; review if needed
Q52,Grok,1,0,1,0,1,Scored automatically; review if needed
Q53,ChatGPT,1,1,2,0,2,Scored automatically; review if needed
Q53,Grok,1,0,1,0,1,Scored automatically; review if needed
Q54,ChatGPT,1,1,2,0,2,Scored automatically; review if needed
Q54,Grok,1,1,2,0,2,Scored automatically; review if needed
Q55,ChatGPT,1,1,2,0,2,Scored automatically; review if needed
Q55,Grok,1,1,2,0,2,Scored automatically; review if needed
Q56,ChatGPT,1,1,2,0,2,Scored automatically; review if needed
Q56,Grok,1,1,2,0,2,Scored automatically; review if needed
Q57,ChatGPT,1,1,2,0,2,Scored automatically; review if needed
Q57,Grok,1,1,2,0,2,Scored automatically; review if needed
Q58,ChatGPT,1,1,2,0,2,Scored automatically; review if needed
Q58,Grok,1,1,2,0,2,Scored automatically; review if needed
Q59,ChatGPT,1,1,2,0,2,Scored automatically; review if needed
Q59,Grok,1,1,2,0,2,Scored automatically; review if needed
Q60,ChatGPT,1,1,2,0,2,Scored automatically; review if needed
Q60,Grok,1,1,2,0,2,Scored automatically; review if needed
Q61,ChatGPT,1,1,2,0,2,Scored automatically; review if needed
Q61,Grok,1,1,2,0,2,Scored automatically; review if needed
Q62,ChatGPT,1,1,2,0,2,Scored automatically; review if needed
Q62,Grok,1,1,2,0,2,Scored automatically; review if needed
Q63,ChatGPT,1,1,2,0,2,Scored automatically; review if needed
Q63,Grok,1,1,2,0,2,Scored automatically; review if needed
Q64,ChatGPT,1,1,2,0,2,Scored automatically; review if needed
Q64,Grok,1,1,2,0,2,Scored automatically; review if needed
Q65,ChatGPT,1,1,2,0,2,Scored automatically; review if needed
Q65,Grok,1,1,2,0,2,Scored automatically; review if needed
