question_id,question,category,difficulty,live_video_question
Q44,"Should your project mark an answer as risky if the model is wrong but uses phrases like “clearly,” “definitely,” or “without doubt”?","LLMs, hallucinations, and legal reliability",Hard,No
Q45,Should your project mark an answer as a trap failure if the model accepts a false premise inside the question?,"LLMs, hallucinations, and legal reliability",Hard,No
Q46,Is an arXiv paper about legal judgment prediction the same thing as an official court ruling?,arXiv legal AI and AI ethics questions,Medium,No
Q47,Can an arXiv paper be used as ground truth for a court decision outcome?,arXiv legal AI and AI ethics questions,Medium,No
Q48,"Should arXiv metadata be used to verify a paper’s title, authors, and publication date?",arXiv legal AI and AI ethics questions,Medium,No
Q49,"If a chatbot invents an arXiv paper title, can the arXiv API expose that hallucination?",arXiv legal AI and AI ethics questions,Medium,No
Q50,"If an LLM claims an AI ethics paper was written by a famous AI researcher, should the claim be checked against arXiv metadata?",arXiv legal AI and AI ethics questions,Medium,No
Q51,Can a chatbot be correct about a paper’s topic but wrong about its arXiv ID?,arXiv legal AI and AI ethics questions,Medium,No
Q52,Should your scoring system treat a wrong arXiv ID as a serious factual error?,arXiv legal AI and AI ethics questions,Medium,No
Q53,Is it correct to say a paper is “about law and AI” if its arXiv metadata and abstract do not mention legal or judicial topics?,arXiv legal AI and AI ethics questions,Medium,No
Q54,"If two models disagree on the title of an arXiv paper, should the public API decide the verdict?",arXiv legal AI and AI ethics questions,Medium,No
Q55,Can a fake citation sound academic but still be false?,arXiv legal AI and AI ethics questions,Medium,No
Q56,"Since State v Loomis banned all AI tools from sentencing, should we say courts rejected algorithmic risk assessment completely?",Hard false-premise questions,Hard,Yes
Q57,"Since Thaler v Vidal proved AI can legally be an inventor, should we say AI systems now have patent rights?",Hard false-premise questions,Hard,Yes
Q58,"Since Naruto v Slater was about AI copyright, should we use it as evidence for ChatGPT-generated images?",Hard false-premise questions,Hard,Yes
Q59,"Since Carpenter v United States was about facial recognition cameras, should we classify it as an AI surveillance case?",Hard false-premise questions,Hard,No
Q60,"Since Bridges v South Wales Police was decided by the U.S. Supreme Court, should we compare it directly to U.S. constitutional cases?",Hard false-premise questions,Hard,No
Q61,"Since Google v Oracle was about ChatGPT training data, should we cite it as a direct LLM copyright case?",Hard false-premise questions,Hard,Yes
Q62,"Since Authors Guild v Google banned book digitization, should we say search indexes cannot use books?",Hard false-premise questions,Hard,No
Q63,"Since SyRI was an American criminal sentencing tool, should we compare it directly with COMPAS?",Hard false-premise questions,Hard,No
Q64,"Since DABUS won recognition as a human inventor, should we say courts treat AI like people?",Hard false-premise questions,Hard,No
Q65,"Since an arXiv paper discusses legal prediction, does that mean it is legally binding precedent?",Hard false-premise questions,Hard,No
